Measurement date,Wind Speed,Wind Direction,Atmo. Movement W/E,Atmo. Movement S/N,Visibility
2017-01-14 10:00:00,4.9,290.0,292.25074409158736,48.22482639447297,1992
2017-01-14 11:00:00,3.7,320.0,296.41491358733407,60.02919264758188,1987
2017-01-14 12:00:00,4.9,290.0,304.7110914179974,66.0624279758467,2000
2017-01-14 13:00:00,4.6,290.0,311.2724012182121,71.72628154931976,1949
2017-01-14 14:00:00,5.5,290.0,317.69989874438767,82.93086144466868,1953
2017-01-14 15:00:00,5.4,290.0,324.0875232924658,89.5797330309197,2000
2017-01-14 16:00:00,4.8,290.0,321.2454117796463,95.48984110758727,2000
2017-01-14 17:00:00,4.5,320.0,312.71436782152426,101.00463499666921,2000
2017-01-14 18:00:00,3.1,290.0,307.72133746949504,104.8215797961837,2000
2017-01-14 19:00:00,3.0,320.0,298.0872658234463,107.06162445360384,2000
2017-01-14 20:00:00,4.1,290.0,290.7171289062462,112.10984176909072,2000
2017-01-14 21:00:00,3.0,340.0,278.57094645416345,122.25852207357855,2000
2017-01-14 22:00:00,3.5,340.0,277.09531177288807,127.20424910741018,2000
2017-01-14 23:00:00,2.6,20.0,265.97400323135975,135.9997720379663,2000
2017-01-15 00:00:00,3.3,320.0,264.9703200344359,145.10038002221975,2000
2017-01-15 01:00:00,1.5,360.0,254.5303200344359,150.50038002221976,2000
2017-01-15 02:00:00,0.7,230.0,248.68009713098837,146.04862845907311,2000
2017-01-15 03:00:00,1.9,270.0,248.11518386739942,137.2237964743425,2000
2017-01-15 04:00:00,2.1,270.0,247.21795028032628,134.1456151844115,2000
2017-01-15 05:00:00,1.0,250.0,238.76071669325307,128.60488886253563,2000
2017-01-15 06:00:00,1.6,270.0,230.31256426697013,123.43354429545153,2000
2017-01-15 07:00:00,1.4,270.0,223.8507265885506,119.24721774114533,2000
2017-01-15 08:00:00,1.4,270.0,215.93072658855067,119.24721774114533,2000
2017-01-15 09:00:00,2.3,270.0,208.37072658855064,119.24721774114533,1992
2017-01-15 10:00:00,3.4,290.0,203.29638643630673,117.40030896718672,1973
2017-01-15 11:00:00,3.6,270.0,207.694455475282,107.19659698484193,1981
2017-01-15 12:00:00,2.6,290.0,199.91380057517472,104.36467019810539,1947
